hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 840.663, 363.282, 656.376, 177.024, 896.641, 320.59, 0, 0
2, 0.00000, 776.438, 314.383, 606.532, 145.088, 827.873, 266.41, 0, 0
3, 0.00000, 755.305, 298.464, 590.148, 134.676, 805.231, 248.724, 0, 0
4, 0.00000, 723.604, 274.74, 565.529, 119.11, 771.339, 222.369, 0, 0
5, 0.00000, 719.848, 271.94, 562.606, 117.268, 767.317, 219.251, 0, 0
6, 0.00000, 747.539, 292.635, 584.138, 130.868, 796.892, 242.234, 0, 0
7, 0.00000, 815.6, 344.1, 636.978, 164.547, 869.719, 299.315, 0, 0
8, 0.00000, 930.407, 429.972, 726.411, 218.632, 993.571, 393.567, 0, 0
9, 0.00000, 1039.13, 513.015, 807.758, 272.257, 1106.94, 485.529, 0, 0
10, 0.00000, 1098.07, 560.897, 856.815, 300.922, 1174.98, 537.109, 0, 0
11, 0.00000, 1176.05, 621.499, 914.362, 339.137, 1259.87, 602.606, 0, 0
12, 0.00000, 1238.03, 673.266, 962.138, 371.829, 1327.04, 659.303, 0, 0
13, 0.00000, 1233.06, 669.105, 958.253, 369.16, 1321.71, 654.772, 0, 0
14, 0.00000, 1226.66, 663.717, 953.362, 365.796, 1314.74, 648.867, 0, 0
15, 0.00000, 1239.03, 674.109, 962.917, 372.365, 1328.13, 660.229, 0, 0
16, 0.00000, 1250.68, 683.937, 971.889, 378.548, 1340.78, 670.985, 0, 0
17, 0.00000, 1251.95, 685.011, 972.862, 379.219, 1342.18, 672.168, 0, 0
18, 0.00000, 1198.81, 640.422, 931.911, 351.101, 1284.54, 623.352, 0, 0
19, 0.00000, 1171.03, 617.341, 910.468, 336.49, 1254.45, 598.056, 0, 0
20, 0.00000, 1141.96, 593.354, 888.051, 321.296, 1222.97, 571.733, 0, 0
21, 0.00000, 1095.18, 555.122, 851.999, 297.033, 1172.34, 529.707, 0, 0
22, 0.00000, 1095.18, 555.115, 852, 297.034, 1172.32, 529.69, 0, 0
23, 0.00000, 1034.63, 506.282, 805.25, 265.888, 1106.96, 475.952, 0, 0
24, 0.00000, 942.053, 436.12, 735.942, 220.899, 1006.68, 399.608, 0, 0
